メーカー名,製品名,用途,該当する界面活性剤,直鎖アルキルベンゼンスルホン酸ナトリウム,アルキルグリコシド,アルキルアミンオキシド,塩化ベンザルコニウム,塩化ベンゼトニウム,塩化ジアルキルジメチルアンモニウム,ポリオキシエチレンアルキルエーテル,純石けん分（脂肪酸カリウム）,純石けん分（脂肪酸ナトリウム）,価格
ミツエイ株式会社,ハーバルスリーおふろ用洗剤,浴室用合成洗剤,ポリオキシエチレンアルキルエーテル、塩化ベンザルコニウム,,,,◯,,,◯,,,
ミツエイ株式会社,スマイルチョイスおふろ用洗剤,浴室用合成洗剤,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,760
ミツエイ株式会社,スマイルチョイス オレンジおふろ用洗剤,浴室用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,
ミツエイ株式会社,スマイルチョイス トイレ用洗剤,浴室用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,880
ミマスクリーンケア株式会社,緑の魔女泡タイプ（トイレ用）,トイレ用合成洗剤,ポリオキシエチレンアルキルエーテルアルキルグリコシド,,◯,,,,,◯,,,
ミマスクリーンケア株式会社,緑の魔女泡タイプ（お風呂用）,浴室用合成洗剤,ポリオキシエチレンアルキルエーテルアルキルグリコシド,,◯,,,,,◯,,,529
ミヨシ石鹸株式会社,暮らしの重曹せっけん泡スプレー,住宅家具用洗剤,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,264
メリードゥビューティプロダクツ株式会社,マク洗,住宅家具用洗剤,塩化ベンザルコニウム,,,,◯,,,,,,880
株式会社芽瑠,お掃除クリーナー「ＴＯＭＩＥ（トミエ）」,住宅家具用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1078
株式会社芽瑠,お掃除クリーナー「Brighten（ブライトン）」,住宅家具用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,2178
ユシロ化学工業株式会社,除菌が出来る中性多目的クリーナー,住宅家具用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,2970
ユニバーサル・デタージェント株式会社,マスク ウォッシュ 90ml,住居用、洗濯用合成洗剤（マスクやフェイスシールド、ドアノブやテーブルなどの除菌、洗浄用）,アルキルグリコシド、アルキルアミンオキシド、ポリオキシエチレンアルキルエーテル,,◯,◯,,,,◯,,,21120
株式会社ユーホーニイタカ,バスコンパクト,住宅家具用洗剤,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,4884
株式会社友和,ホームケアシリーズ外壁汚れ用,住居用合成洗剤,ポリオキシエチレンアルキルエーテル、塩化ベンザルコニウム,,,,◯,,,◯,,,606
株式会社友和,重曹＋お酢 台所クリーナー,住居用合成洗剤,ポリオキシエチレンアルキルエーテル、塩化ベンザルコニウム,,,,◯,,,◯,,,255
株式会社友和,コンクリーン,住居用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1280
株式会社友和,技シリーズ 石材外壁クリーナー,住居用合成洗剤,ポリオキシエチレンアルキルエーテル、塩化ベンザルコニウム,,,,◯,,,◯,,,3229
株式会社友和,ホームケアシリーズ風呂汚れ用,浴室用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1174
株式会社友和,お部屋のカビ取りクリーナー,カビ取り用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,767
株式会社友和,Docchi-Mo,浴室・トイレ用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,373
ライオン株式会社,レンジまわりのルック,住居（キッチン用）合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,207
ライオン株式会社,ルックプラス バスタブクレンジング（ｸﾘｱｼﾄﾗｽの香り、ﾌﾛｰﾗﾙｿｰﾌﾟの香り）,浴室用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,163
